contrato;portal_de_compras;objeto;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_execucao_contrato
DM-002/2021;230176204821;SISTEMA DE DRENAGEM MG-424, KM 41,5. PERÍMETRO URBANO DE PRUDENTE DE MORAIS;2021-06-25;2021-07-05;2021-10-04;Execução concluída;TRANSCANTO - TRANSPORTES, CONSTRUCOES E SERVICOS LTDA - ME;9645889000139;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONVITE;EMPREITADA POR PREÇO UNITÁRIO;Manutenção Drenagem;Obra Rodoviária; Obra 1 - Recomposição do sistema de drenagem na rodovia MG-424, km 41,5; Obra 1 - Prudente de Morais;92;0;0;92;202955,19;-3691,52;199263,67;199262,2;0,0;199262,2;1,47;0,9999926228398784
DC-001/2023;230152004022;APOIO À SUPERVISÃO NO TRECHO ENTR. MGC-262 (SABARÁ) - ENTR. MG-030 (NOVA LIMA).;2023-02-09;2023-05-08;2026-04-06;Encerrado;SYSTRA ENGENHARIA E CONSULTORIA LTDA;52635422000137;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE CONSTRUÇÃO E OBRAS RODOVIÁRIAS ;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária; Obra 1 - Supervisão de obras rodoviárias de melhoramentos e pavimentação no trecho Entr. MGC-262 (Sabará) - Entr. MG-030 (Nova Lima), extensão de 12,6 Km; Obra 1 - Nova Lima, Sabará;570;0;495;1065;2146927,38;0,0;2146927,38;480937,37;33425,12;514362,49;1665990,01;0,2240119411957008
PRC-22.037/2017-C;230176248/17;MANUTENÇÃO DAS RODOVIAS DA 06ª URG - MONTES CLAROS;2021-02-26;2021-03-01;2022-02-28;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 06ª URG.; Obra 1 - Araguari, Araporã, Bocaiúva, Botumirim, Canápolis, Capitão Enéas, Centralina, Claro dos Poções, Coração de Jesus, Cristália, Engenheiro Navarro, Francisco Dumont, Francisco Sá, Glaucilândia, Grão Mogol, Guaraciama, Ibiaí, Ibiá, Indianópolis, Itacambira, Janaúba, Jequitaí, Joaquim Felício, Juramento, Lagoa dos Patos, Monte Alegre de Minas, Montes Claros, Nova Ponte, OLHOS-D AGUA, Patrocínio, Prata, Serra do Salitre, São João da Lagoa, Tupaciguara, Uberaba, Uberlândia;365;0;0;365;6259445,07;36019,04;6295464,11;5017595,98;972126,28;5989722,26;1277868,13;0,7970176451375243
DM 014/2021;230176201221; ESTABILIZAÇÃO DE TALUDE DE ATERRO AMG -0520, KM 7,5;2021-09-09;2021-09-13;2022-08-19;Execução concluída;IPE ENGENHARIA LTDA;25955246000148;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Obras Rodoviárias;Obra Rodoviária; Obra 1 - Estabilização de Talude de Aterro AMG-0520, km 7,5 - Acesso à Aracitaba; Obra 1 - Oliveira Fortes, Ubá;153;122;66;341;1133539,14;181994,77;1315533,91;1314718,0;142228,54;1456946,54;815,91;0,9993797879372034
DC-014/2022;230152000822;APOIO À SUPERVISÃO DE OBRAS RODOVIÁRIAS NO TRECHO SÃO PEDRO DA GARÇA - ENTR. LMG631 (P/ SÃO JOÃO DA PONTE);2022-05-20;2022-08-22;2023-10-26;Execução concluída;PLANEP PLANEJAMENTO, ESTUDOS E PROJETOS LTDA.;10417566000177;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE INFRAESTRUTURA;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária; Obra 1 - Apoio à Supervisão de obras rodoviárias no trecho São Pedro da Garça - Entr. LMG631 (p/ São João da Ponte); Obra 1 - Montes Claros, São João da Ponte;210;163;58;431;434226,83;106733,87;540960,7;465279,81;23189,59;488469,4;75680,89;0,8600990977717975
PRC-22.029/2017-E;230176233/17;MANUTENÇÃO ROTINEIRA DAS RODOVIAS DA 14ª URG - PATOS DE MINAS;2023-01-23;2023-02-01;2024-01-31;Execução concluída;SITRAN SINALIZACAO DE TRANSITO INDUSTRIAL LTDA;16502551000193;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 14ª RRG.; Obra 1 - Arapuá, Carmo do Paranaíba, Cruzeiro da Fortaleza, Lagamar, Lagoa Formosa, Lagoa Grande, Matutina, Patos de Minas, Presidente Olegário, Rio Paranaíba, Santa Rosa da Serra, Serra do Salitre, São Gonçalo do Abaeté, São Gotardo, Tiros, Varjão de Minas, Vazante;365;0;0;365;4579793,52;953830,05;5533623,57;4981375,92;3018376,15;7999752,07;552247,65;0,9002014425061443
DM-22.006/2019-C;230176243/17;MANUTENÇÃO RODOVIÁRIA E CONSERVAÇÃO - 11ª CRG DO DEER/MG;2022-09-19;2022-10-01;2023-09-30;Execução concluída;SITRAN SINALIZACAO DE TRANSITO INDUSTRIAL LTDA;16502551000193;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - Manut. rodov., conserv. rotineira e periódica, serviços de urgência e pequenos melhoramentos, bem como reparações do corpo estradal, na 11ª CRG.; Obra 1 - Araguari, Araporã, Araxá, Canápolis, Centralina, Ibiá, Indianópolis, Monte Alegre de Minas, Nova Ponte, Patrocínio, Perdizes, Prata, Santa Juliana, Serra do Salitre, Tupaciguara, Uberaba, Uberlândia;365;0;0;365;5455961,48;-0,03;5455961,45;5081504,8;2494727,36;7576232,16;374456,65;0,9313674311243529
DOV-004/2022;230190109/21;CONTRATAÇÃO DO PROGRAMA DE CONTROLE DE PESO DAS CARGAS TRANSPORTADAS;2022-07-28;2022-08-09;2024-04-08;Execução concluída;PROJEL ENGENHARIA ESPECIALIZADA LTDA;44416618000102;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE FISCALIZAÇÃO;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Operação-Balança;Obra Rodoviária; Obra 1 - Serviços de engenharia de natureza continua, apoio ao gerenciamento, operação e fiscalização do trânsito - lote 04; Obra 1 - Arceburgo, Arcos, Bom Despacho, Córrego Fundo, Formiga, Pedra do Indaiá, Pompéu, Pratápolis;609;0;0;609;19101818,47;0,0;19101818,47;8724031,69;781181,75;9505213,44;10377786,78;0,4567121032848974
DP-002/2022;230160100222;ELABORAÇÃO DE PROJETO DE ENGENHARIA RODOVIÁRIA DE MELHORAMENTOS, PAVIMENTAÇÃO E OAE DOS TRECHOS DO CONTORNO DE TIMÓTEO;2022-06-03;2023-02-06;2024-07-28;Andamento;ENGEMASTER ENGENHARIA E PROJETOS LTDA;42940817000190;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;GERÊNCIA DE COORDENAÇÃO E CONTROLE;RDC;EMPREITADA POR PREÇO UNITÁRIO;Consultoria para Projetos;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Contratação de empresa de engenharia consultiva para a Elaboração de Projeto de Engenharia Rodoviária de Melhoramentos, Pavimentação e OAE dos trechos; Obra 1 - Timóteo;360;0;179;539;2774130,29;0,0;2774130,29;373561,59;44852,71;418414,3;2400568,7;0,1346589925305924
PRC-22.004/2018-C;230176250/17;MANUTENÇÃO DAS RODOVIAS DA 08ª URG - DIAMANTINA;2021-05-31;2021-06-01;2022-05-31;Execução concluída;ASEL CONSTRUCOES RODOVIARIAS LTDA;20966503000123;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Obras Rodoviárias;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO DAS RODOVIAS DA 08ª URG - DIAMANTINA; Obra 1 - Agua Boa, Alvorada de Minas, Capelinha, Carbonita, Conceição do Mato Dentro, Congonhas do Norte, Couto de Magalhães de Minas, Curvelo, Datas, Diamantina, Felício dos Santos, Gouvea, Itamarandiba, José Raydan, Minas Novas, Monjolos, Novo Cruzeiro, Presidente Kubitschek, Rio Vermelho, Sabinópolis, Santa Maria do Suaçuí, Santo Antônio do Itambé, Senador Modestino Gonçalves, Serra Azul de Minas, Serro, Setubinha, São Gonçalo do Rio Preto, São Pedro do Suaçuí, Turmalina, Turmalina, Água Boa;365;0;0;365;5099761,17;885966,66;5985727,83;4706989,84;1064890,55;5771880,39;1278737,99;0,786368838290464
