contrato;obra;latitude;longitude
DM-002/2021;Obra 1;;
DC-001/2023;Obra 1;-19,9849058;-43,8469634
DC-001/2023;Obra 1;-19,8948501;-43,814814
PRC-22.037/2017-C;Obra 1;-16,7203311;-43,8541147
DM 014/2021;Obra 1;-21,33549;-43,38584400000001
DC-014/2022;Obra 1;-16,1700583;-43,8662018
PRC-22.029/2017-E;Obra 1;-18,5967086;-46,5181047
DM-22.006/2019-C;Obra 1;-18,9226438;-48,2957901
DOV-004/2022;Obra 1;-20,4540075;-45,4445285
DP-002/2022;Obra 1;-19,5841846;-42,6942253
DP-002/2022;Obra 1;-19,5771412;-42,6430168
DP-002/2022;Obra 1;-19,5517271;-42,6329674
DP-002/2022;Obra 1;-19,5405505;-42,6471993
DP-002/2022;Obra 1;-19,5379482;-42,6471253
DP-002/2022;Obra 1;-19,5494475;-42,6381164
PRC-22.004/2018-C;Obra 1;-18,2398134;-43,6049294
DM-023/2022;Obra 1;;
DP-003/2022;Obra 1;-19,303426;-44,1992035
DC-022/2022;Obra 1;-19,4494354;-44,74817729999999
DC-022/2022;Obra 1;-19,4494238;-44,7481687
DC-022/2022;Obra 1;-19,21748163841044;-45,00222987944036
DM-013/2021;Obra 1;;
DP-003/2021;Obra 1;;
PRC-22.026/2017-E;Obra 1;-20,6829764;-44,8232506
DM-22.003/2020-C;Obra 1;-21,7407769;-43,362801
DM-012/2021;Obra 1;;
DM-014/2022;Obra 1;;
DM-22.007/2020-C;Obra 1;-16,1638869;-42,2827817
DC-021/2021;Obra 1;-16,0564455;-45,1461072
DC-021/2021;Obra 1;-15,9516628;-44,8591023
DC-021/2021;Obra 2;;
DM-22.011/2020-B;Obra 1;-20,4539389;-45,4445009
ATA RP-LOTE 2;Obra 1;-15,8009305;-43,30941869999999
PRC-22.031/2017-E;Obra 1;-19,7469167;-47,9483714
PRC-22.013/2014;Obra 1;;
DM-025/2022;Obra 1;-19,78168234009921;-44,0742997121643
DM-025/2022;Obra 1;-19,800634623276483;-44,02311608650818
DM-002/2023;Obra 1;-17,75924740092428;-40,85833668421702
DM-002/2023;Obra 1;-17,91831223358018;-40,36541327792403
DM-002/2023;Obra 1;-17,8510992;-40,17511349999999
DM-002/2023;Obra 1;-17,8409303;-40,3458437
DOV-001/2021;Obra 1;-19,928208;-43,983328
DC-012/2021;Obra 1;;
