ano_assinatura_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_processo;valor_total_referencia_item_processo;valor_total_homologado
2009;2011110 000031/2009;5029;EMIVE PATRULHA 24 HORAS LTDA;1;4740;SERVICOS DE VIGILANCIA E SEGURANCA ELETRONICA;;;3702;LOCACAO DE SERVICOS DE APOIO ADMINISTRATIVO;1;1894,0;0,0;0,0
2009;2011110 000031/2009;5029;EMIVE PATRULHA 24 HORAS LTDA;1;4740;SERVICOS DE VIGILANCIA E SEGURANCA ELETRONICA;;;3932;LOCACAO DE SERVICOS TECNICOS E ESPECIALIZADOS;1;1894,0;1894,0;1893,0
2010;1191125 000003/2010;5029;A.R.D. ALIMENTOS LTDA;1;1092723;"CAFE - APRESENTACAO: TORRADO E MOIDO; IDENTIFICACAO (1): 100% ARABICA; IDENTIFICACAO (2): ; IDENTIFICACAO (3): ; PERFIL SABOR: NO MINIMO DURA; AROMA: SUAVE E INTENSO; CORPO: LEVE A INCORPADO; MOAGEM: MEDIA A FINA; TORRA: ACHOCOLATADO DEFINIDO NA ESCALA AGTRON ENTRE 45/65; SABOR: SUAVE E INTENSO;";;;3008;PRODUTOS ALIMENTICIOS;1;6,05;1210,0;794,0
2010;2301762 000126/2009;5029;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;1;26883;SERVICOS DE CONSULTORIA EM AREA DE ENGENHARIA RODOVIARIA;;;5106;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;1;3180536,6;3180536,6;3149299,12
2010;2301762 000126/2009;5029;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;11;26883;SERVICOS DE CONSULTORIA EM AREA DE ENGENHARIA RODOVIARIA;;;5106;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;1;3180536,6;0,0;0,0
2011;1191001 000193/2011;5740;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS;1;38393;PUBLICACAO E/OU DIVULGACAO NO DIARIO OFICIAL DE MINAS GERAIS;;;3939;SERVICOS DE PUBLICACAO E DIVULGACAO;1;57000,0;57000,0;57000,0
2011;1191001 000193/2011;5740;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS;1;38393;PUBLICACAO E/OU DIVULGACAO NO DIARIO OFICIAL DE MINAS GERAIS;;;3939;SERVICOS DE PUBLICACAO E DIVULGACAO;1;980000,0;980000,0;980000,0
2011;1191217 000004/2011;5475;POSTO PLANALTO LTDA;1;12106;SERVICOS DE LAVAGEM, PULVERIZACAO, LUBRIFICACAO E POLIMENTO DE VEICULOS LEVES;;;3918;REPAROS DE VEICULOS;1;1600,0;1600,0;1200,0
2011;2301762 000016/2011;5475;PAVIDEZ ENGENHARIA LTDA;1;1872;SERVICOS DE RECUPERACAO DE RODOVIAS;;;5107;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;2;1483018,02;1483018,02;1463887,08
2012;1191001 000021/2012;5997;CARIMBOS UNIVERSO EIRELI;1;36145;CONFECCAO DE CARIMBO TIPO COMUM;;;3999;OUTROS SERVICOS PESSOA JURIDICA;1;7998,17;7998,17;5500,0
