contrato;contrato_siad;obra;municipio;portal_de_compras
  AMA-9502187/2026;;Obra 1;Cônego Marinho;
 AEST-9469794/2025;;Obra 1;Governador Valadares;
9439923;9439923;Obra 1;Araxá;2301707 000004/2024
9442805;9442805;Obra 1;Belo Horizonte;2301403 000099/2024
9447043/2024-A;9447043;Obra 1;Formiga;1301017 000012/2024
9447045/2024-A;9447045;Obra 1;Varginha;1301017 000012/2024
9473911/2024;9473911;Obra 1;Curvelo;1301017 000043/2024
AEST-009440673/2024;9440673;Obra 1;Belo Horizonte;2301931 000001/2024
AEST-9441233/2024;9441233;Obra 1;Belo Horizonte;2301931 000002/2024
AEST-9468567/2025;9468567;Obra 1;Belo Horizonte;2301931 000002/2025
AEST-9468573/2025;9468573;Obra 1;Montes Claros;2301931 000002/2025
AEST-9468704/2025;9468704;Obra 1;Patos de Minas;2301931 000002/2025
AEST-9470136/2025;9470136;Obra 1;Oliveira;2301931 000002/2025
AMA-9441725/2024;9441725;Obra 1;Bambuí;2301617 000003/2024
AMA-9441725/2024;9441725;Obra 1;Medeiros;2301617 000003/2024
AMA-9441725/2024;9441725;Obra 1;Pratinha;2301617 000003/2024
AMA-9445113/2024;9445113;Obra 1;Belo Horizonte;2301617 000001/2024
AMA-9447965/2025;9447965;Obra 1;Conselheiro Lafaiete;2301617 000004/2024
AMA-9458828/2025;9458828;Obra 1;Jequitibá;2301617 000005/2024
AMA-9461425/2025;9461425;Obra 1;Belo Horizonte;2301617 000002/2025
AMA-9461425/2025;9461425;Obra 2;Belo Horizonte;2301617 000002/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
AMA-9499286/2026;9499286;Obra 1;Belo Horizonte;2301617 000003/2025
ASG-001/2021;9288131;Obra 1;Belo Horizonte;2301403 000009/2021
ASG-002/2021;9315246;Obra 1;Belo Horizonte;2301403 000070/2021
ASG-003/2021;9318266;Obra 1;Belo Horizonte;2301931 000002/2021
ATA RP-LOTE 1;Registro de Preços;Obra 1;Araxá;2301601 000001/2023
ATA RP-LOTE 2;Registro de Preços;Obra 1;Janaúba;2301601 000001/2023
ATA RP-LOTE 3;Registro de Preços;Obra 1;Jequitinhonha;2301601 000001/2023
ATA RP-LOTE 4;Registro de Preços;Obra 1;Cataguases;2301601 000001/2023
ATA RP-LOTE 5;Registro de Preços;Obra 1;Luz;2301601 000001/2023
ATA RP-LOTE 6;Registro de Preços;Obra 1;Varginha;2301601 000001/2023
D0-009482032/2025-L6;9482032;Obra 1;Açucena;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Belo Horizonte;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Caputira;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Cataguases;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Dionísio;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Dom Silvério;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Faria Lemos;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Guiricema;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Inhapim;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Itabira;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Muriaé;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Mutum;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Nova Era;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Ouro Preto;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Paula Cândido;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Piraúba;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Raul Soares;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Reduto;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Rio Piracicaba;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Santa Maria de Itabira;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;São Domingos das Dores;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;São Geraldo;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;São Pedro dos Ferros;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Tabuleiro;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Teixeiras;2301901 000001/2025
D0-009482032/2025-L6;9482032;Obra 1;Viçosa;2301901 000001/2025
DC-001/2022;9344057;Obra 1;Januária;2301520 000029/2021
DC-001/2022;9344057;Obra 1;Mirabela;2301520 000029/2021
DC-001/2022;9344057;Obra 2;Januária;2301520 000029/2021
DC-001/2022;9344057;Obra 2;Mirabela;2301520 000029/2021
DC-001/2022;9344057;Obra 2;São Francisco;2301520 000029/2021
DC-001/2023;9374631;Obra 1;Nova Lima;2301520 000040/2022
DC-001/2023;9374631;Obra 1;Sabará;2301520 000040/2022
