contrato;contrato_siad;status;descricao_do_motivo;data;responsavel;portal_de_compras
DM-020/2024-A;9427674;Andamento;;2026-05-15 00:00:00;-;2301762 000051/2023
DM-9502116/2026;9502116;Andamento;;2026-04-28 00:00:00;-;2301762 000026/2025
DP-020/2023;9393315;Andamento;;2026-04-24 00:00:00;-;2301601 000009/2022
DC-9498666/2026;9453556;Andamento;;2026-04-01 00:00:00;-;2301520 000041/2025
DM-9493137/2026;9493137;Andamento;;2026-05-11 00:00:00;-;2301762 000022/2025
DPEI-030/2023;Em andamento;Andamento;;2026-04-27 00:00:00;-;Não Disponível
DC-007/2024;9424592;Andamento;;2026-05-04 00:00:00;-;2301520 000024/2023
PRC-29.008/2017-E;9149606;Andamento;;2026-04-13 00:00:00;-;2301901 000001/2017
DM-017/2024-A;9424449;Andamento;;2026-05-02 00:00:00;-;2301762 000051/2023
DM-014/2024-A;9424302;Andamento;;2026-05-01 00:00:00;-;2301762 000051/2023
DC-003/2024;9417863;Andamento;;2026-04-15 00:00:00;-;2301520 000001/2024
DO-9493205/2026-L4;9493205;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
DO-009482017/2025-L3;9482017;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
DO-009482055/2025-L5;9482055;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
D0-009482032/2025-L6;9482032;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
DO-9481987/2025-L7;9481987;Andamento;;2026-03-17 00:00:00;-;2301901 000001/2025
DP-003/2022;9344767;Andamento;;2026-03-04 00:00:00;-;2301601 000001/2022
DM-009/2024-A;9422078;Andamento;;2026-04-10 00:00:00;-;2301762 000036/2023
DM-011/2024-A;9421657;Andamento;;2026-04-08 00:00:00;-;2301762 000036/2023
DM-010/2024-A;9418600;Andamento;;2026-04-08 00:00:00;-;2301762 000036/2023
DC-9479677/2025;9479677;Andamento;;2026-04-13 00:00:00;-;2301520 000032/2025
DM-008/2024-A;9422064;Andamento;;2026-04-09 00:00:00;-;2301762 000036/2023
DM-018/2024-A;9424304;Andamento;;2026-04-24 00:00:00;-;2301762 000051/2023
DM-012/2024-A;9422079;Andamento;;2026-04-11 00:00:00;-;2301762 000036/2023
DM-016/2024-A;9424337;Andamento;;2026-04-26 00:00:00;-;2301762 000051/2023
DC-9501601/2026;9501601;Andamento;;2026-05-18 00:00:00;-;2301520 000037/2025
DO-009482014/2025-L1;9482014;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
DO-009482046/2025-L2;9482046;Andamento;;2026-03-18 00:00:00;-;2301901 000001/2025
DC-9445587/2024;9445587;Andamento;;2026-04-20 00:00:00;-;2301520 002220/2024
DC-011R/2024;9498942;Andamento;;2026-04-22 00:00:00;-;2301520 000010/2026
DM-005/2024-A;9414460;Andamento;;2026-03-18 00:00:00;-;2301762 000036/2023
