contrato;obra;sequencia_do_trecho;rodovia;descricao_rodovia;descricao_trecho;km_inicial;km_final
DM-22.012/2020;Obra 1;20,0;CMG265;MURIAÉ-BARBACENA-SÃO JOÃO DEL REI-LAVRAS-BOA ESPERANÇA-CARMO DO RIO CLARO-SÃO SEBASTIÃO DO PARAÍSO-DIV MG/SP;Não Disponível;486,1;504,7
DM-22.012/2020;Obra 1;21,0;CMG146;PATOS DE MINAS-SÃO ROQUE DE MINAS-BOM JESUS DA PENHA-POÇOS DE CALDAS-DIV MG/SP(MONTE SIÃO);Não Disponível;399,1;420,1
PRC-22.022/2017-C;Obra 1;1,0;MG406;RIO DO PRADO-RUBIM-ALMENARA-PEDRA GRANDE;Não Disponível;0,0;35,0
PRC-22.022/2017-C;Obra 1;2,0;MG105;PEDRA AZUL-JOAÍMA-PAVÃO-CARLOS CHAGAS-BR418;Não Disponível;0,0;55,5
PRC-22.022/2017-C;Obra 1;3,0;LMG601;ENTR LMG634(ALMENARA) / MATA VERDE;Não Disponível;0,0;60,0
PRC-22.022/2017-C;Obra 1;4,0;LMG610;MATA VERDE-DIVISÓPOLIS-PEDRA AZUL;Não Disponível;0,0;104,5
PRC-22.022/2017-C;Obra 1;5,0;LMG614;ENTR LMG610 (MATA VERDE)-DIVISÓPOLIS-ENTR BR116;Não Disponível;0,0;22,9
PRC-22.022/2017-C;Obra 1;6,0;LMG618;DIVISA ALEGRE-ÁGUAS VERMELHAS-ENTR BR251 (SALINAS);Não Disponível;0,0;27,8
PRC-22.022/2017-C;Obra 1;7,0;LMG630;DIV BA/MG-BANDEIRA-ENTR LMG634 (ALMENARA);Não Disponível;0,0;35,1
PRC-22.022/2017-C;Obra 1;8,0;LMG632;BR166 (PEDRA AZUL)-CACHOEIRA DO PAJEÚ-BR251 (SALINAS);Não Disponível;0,0;23,6
PRC-22.022/2017-C;Obra 1;9,0;LMG634;DIV BA/MG-JORDÂNIA-ALMENARA;Não Disponível;0,0;82,0
PRC-22.022/2017-C;Obra 1;10,0;LMG650;MEDINA-COMERCINHO;Não Disponível;1,3;43,2
PRC-22.022/2017-C;Obra 1;11,0;CMG251;DIV BA/MG-PEDRA AZUL-SALINAS-MONTES CLAROS-CORAÇÃO DE JESUS-SANTA FÉ DE MINAS-DIV MG/GO;Não Disponível;109,6;184,8
PRC-22.033/2017-C;Obra 1;1,0;MG401;MANGA-MATIAS CARDOSO-JANAÚBA;Não Disponível;1,7;141,0
PRC-22.033/2017-C;Obra 1;2,0;LMG510;CONTORNO DE JAÍBA-ENTR MG401 A-ENTR MG401 B;Não Disponível;0,0;6,0
PRC-22.033/2017-C;Obra 1;3,0;MG120;PORTERINHA-RIACHO DOS MACHADOS-CAVEIRA (BR251);Não Disponível;0,0;65,4
PRC-22.033/2017-C;Obra 1;4,0;LMG516;PONTE SOBRE O RIO SÃO FRANCISCO - ENTR BR135(MANGA) - ENTR. MG401 (P/ MATIAS CARDOSO);Não Disponível;0,0;4,1
PRC-22.033/2017-C;Obra 1;5,0;LMG631;SÃO JOÃO DA PONTE-CAPITÃO ENEIAS;Não Disponível;1,5;59,2
PRC-22.033/2017-C;Obra 1;6,0;LMG633;MG401 (JAÍBA)-MOCAMBINHO;Não Disponível;0,0;35,0
PRC-22.033/2017-C;Obra 1;7,0;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;Não Disponível;0,0;52,6
PRC-22.033/2017-C;Obra 1;8,0;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;Não Disponível;55,2;89,8
PRC-22.033/2017-C;Obra 1;14,0;CMG122;DIV BA/MG- MATO VERDE-JANAUBA-MONTES CLAROS;Não Disponível;0,0;230,1
DM-22.011/2020-A;Obra 1;30,0;MG170;BR262-MOEMA-LAGOA DA PRATA-PIMENTA-ILICÍNEA-BR265;Não Disponível;146,7;170,9
PRC-22.023/2018-C;Obra 1;51,0;MG030;BELO HORIZONTE-NOVA LIMA-ITABIRITO-ENGENHEIRO CORREIA-BARBACENA;Não Disponível;42,0;60,7
PRC-22.023/2018-C;Obra 1;53,0;MG030;BELO HORIZONTE-NOVA LIMA-ITABIRITO-ENGENHEIRO CORREIA-BARBACENA;Não Disponível;83,7;106,5
PRC-22.017/2017-C;Obra 1;31,0;CMG367;DIV BA/MG (SALTO DA DIVISA)-JEQUITINHONHA-ARAÇUAÍ-MINAS NOVAS-DIAMANTINA-GOUVEIA;Não Disponível;326,3;329,3
PRC-22.029/2017-C;Obra 1;20,0;MG235;IBIÁ-SÃO GOTARDO-SERRA DA SAUDADE-MG176;Não Disponível;82,4;90,7
PRC-22.025/2017-C;Obra 2;16,0;MG105;PEDRA AZUL-JOAÍMA-PAVÃO-CARLOS CHAGAS-BR418;Não Disponível;256,9;257,9
PRC-22.029/2017-C;Obra 1;23,0;LMG795;ENTR BR354-SANTA ROSA DA SERRA;Não Disponível;15,2;18,0
PRC-22.025/2017-C;Obra 2;18,0;MG217;ÁGUA BOA-MALACACHETA-POTÉ-TEÓFILO OTÔNI;Não Disponível;41,2;81,4
